Province,Date,Sex,Age,Cumulative number of people (Vaccinedose1)
Northwest Territories,2021-01-16,f,80+,81
Northwest Territories,2021-01-16,m,80+,70
Northwest Territories,2021-01-16,Unknown,80+,0
Northwest Territories,2021-01-16,Not reported,80+,0
Nunavut,2021-01-16,All sexes,80+,42
Nunavut,2021-01-16,f,80+,22
Nunavut,2021-01-16,m,80+,20
Nunavut,2021-01-16,Unknown,80+,0
Nunavut,2021-01-16,Not reported,80+,0
Canada,2021-01-23,All sexes,80+,91050
Canada,2021-01-23,f,80+,63968
Canada,2021-01-23,m,80+,27072
Canada,2021-01-23,Unknown,80+,10
Canada,2021-01-23,Not reported,80+,0
Newfoundland and Labrador,2021-01-23,All sexes,80+,649
Newfoundland and Labrador,2021-01-23,f,80+,454
Newfoundland and Labrador,2021-01-23,m,80+,195
Newfoundland and Labrador,2021-01-23,Unknown,80+,0
Newfoundland and Labrador,2021-01-23,Not reported,80+,0
Prince Edward Island,2021-01-23,All sexes,80+,1344
Prince Edward Island,2021-01-23,f,80+,950
Prince Edward Island,2021-01-23,m,80+,394
Prince Edward Island,2021-01-23,Unknown,80+,0
Prince Edward Island,2021-01-23,Not reported,80+,0
Nova Scotia,2021-01-23,All sexes,80+,555
Nova Scotia,2021-01-23,f,80+,405
Nova Scotia,2021-01-23,m,80+,150
Nova Scotia,2021-01-23,Unknown,80+,0
Nova Scotia,2021-01-23,Not reported,80+,0
Quebec,2021-01-23,All sexes,80+,33047
Quebec,2021-01-23,f,80+,23505
Quebec,2021-01-23,m,80+,9533
Quebec,2021-01-23,Unknown,80+,9
Quebec,2021-01-23,Not reported,80+,0
Ontario,2021-01-23,All sexes,80+,0
Ontario,2021-01-23,f,80+,0
Ontario,2021-01-23,m,80+,0
Ontario,2021-01-23,Unknown,80+,0
Ontario,2021-01-23,Not reported,80+,0
Manitoba,2021-01-23,All sexes,80+,3555
Manitoba,2021-01-23,f,80+,2499
Manitoba,2021-01-23,m,80+,1056
Manitoba,2021-01-23,Unknown,80+,0
Manitoba,2021-01-23,Not reported,80+,0
Saskatchewan,2021-01-23,All sexes,80+,6199
Saskatchewan,2021-01-23,f,80+,4111
Saskatchewan,2021-01-23,m,80+,2088
Saskatchewan,2021-01-23,Unknown,80+,0
Saskatchewan,2021-01-23,Not reported,80+,0
Alberta,2021-01-23,All sexes,80+,18027
Alberta,2021-01-23,f,80+,12876
Alberta,2021-01-23,m,80+,5151
Alberta,2021-01-23,Unknown,80+,0
Alberta,2021-01-23,Not reported,80+,0
British Columbia,2021-01-23,All sexes,80+,26553
British Columbia,2021-01-23,f,80+,18561
British Columbia,2021-01-23,m,80+,7991
British Columbia,2021-01-23,Unknown,80+,1
British Columbia,2021-01-23,Not reported,80+,0
Yukon,2021-01-23,All sexes,80+,553
Yukon,2021-01-23,f,80+,295
Yukon,2021-01-23,m,80+,258
Yukon,2021-01-23,Unknown,80+,0
Yukon,2021-01-23,Not reported,80+,0
Northwest Territories,2021-01-23,All sexes,80+,492
Northwest Territories,2021-01-23,f,80+,271
Northwest Territories,2021-01-23,m,80+,221
Northwest Territories,2021-01-23,Unknown,80+,0
Northwest Territories,2021-01-23,Not reported,80+,0
Nunavut,2021-01-23,All sexes,80+,76
Nunavut,2021-01-23,f,80+,41
Nunavut,2021-01-23,m,80+,35
Nunavut,2021-01-23,Unknown,80+,0
Nunavut,2021-01-23,Not reported,80+,0
Canada,2021-01-30,All sexes,80+,101524
Canada,2021-01-30,f,80+,71233
Canada,2021-01-30,m,80+,30282
Canada,2021-01-30,Unknown,80+,9
Canada,2021-01-30,Not reported,80+,0
Newfoundland and Labrador,2021-01-30,All sexes,80+,749
Newfoundland and Labrador,2021-01-30,f,80+,499
Newfoundland and Labrador,2021-01-30,m,80+,250
Newfoundland and Labrador,2021-01-30,Unknown,80+,0
Newfoundland and Labrador,2021-01-30,Not reported,80+,0
Prince Edward Island,2021-01-30,All sexes,80+,1383
